date,close,volume,open,high,low
2018/1/25,1170.37,1461518,1172.53,1175.94,1162.76
2018/1/24,1164.24,1382904,1177.33,1179.86,1161.05
2018/1/23,1169.97,1309862,1159.85,1171.6266,1158.75
2018/1/22,1155.81,1616120,1137.49,1159.88,1135.1101
2018/1/19,1137.51,1390118,1131.83,1137.86,1128.3
2018/1/18,1129.79,1194943,1131.41,1132.51,1117.5
2018/1/17,1131.98,1200476,1126.22,1132.6,1117.01
2018/1/16,1121.76,1566662,1132.51,1139.91,1117.8316
2018/1/12,1122.26,1718491,1102.41,1124.29,1101.15
2018/1/11,1105.52,977727,1106.3,1106.525,1099.59
2018/1/10,1102.61,1042273,1097.1,1104.6,1096.11
2018/1/9,1106.26,900089,1109.4,1110.57,1101.2307
2018/1/8,1106.94,1046767,1102.23,1111.27,1101.62
2018/1/5,1102.23,1279990,1094,1104.25,1092
2018/1/4,1086.4,1002945,1088,1093.5699,1084.0017
2018/1/3,1082.48,1429757,1064.31,1086.29,1063.21
2018/1/2,1065,1236401,1048.34,1066.94,1045.23
2017/12/29,1046.4,886845,1046.72,1049.7,1044.9
2017/12/28,1048.14,833011,1051.6,1054.75,1044.77
2017/12/27,1049.37,1271780,1057.39,1058.37,1048.05
2017/12/26,1056.74,761097,1058.07,1060.12,1050.2
2017/12/22,1060.12,755089,1061.11,1064.2,1059.44
2017/12/21,1063.63,986548,1064.95,1069.33,1061.7938
2017/12/20,1064.95,1268285,1071.78,1073.38,1061.52
2017/12/19,1070.68,1307894,1075.2,1076.84,1063.55
2017/12/18,1077.14,1552016,1066.08,1078.49,1062
2017/12/15,1064.19,3275091,1054.61,1067.62,1049.5
2017/12/14,1049.15,1558684,1045,1058.5,1043.11
2017/12/13,1040.61,1220364,1046.12,1046.665,1038.38
2017/12/12,1040.48,1279511,1039.63,1050.31,1033.6897
2017/12/11,1041.1,1190527,1035.5,1043.8,1032.0504
2017/12/8,1037.05,1288419,1037.49,1042.05,1032.5222
2017/12/7,1030.93,1458145,1020.43,1034.24,1018.071
2017/12/6,1018.38,1258496,1001.5,1024.97,1001.14
2017/12/5,1005.15,2066247,995.94,1020.61,988.28
2017/12/4,998.68,1906058,1012.66,1016.1,995.57
2017/12/1,1010.17,1908962,1015.8,1022.4897,1002.02
2017/11/30,1021.41,1723003,1022.37,1028.4899,1015
2017/11/29,1021.66,2442974,1042.68,1044.08,1015.65
2017/11/28,1047.41,1421027,1055.09,1062.375,1040
2017/11/27,1054.21,1307471,1040,1055.46,1038.44
2017/11/24,1040.61,536996,1035.87,1043.178,1035
2017/11/22,1035.96,746351,1035,1039.706,1031.43
2017/11/21,1034.49,1096161,1023.31,1035.11,1022.655
2017/11/20,1018.38,898389,1020.26,1022.61,1017.5
2017/11/17,1019.09,1366936,1034.01,1034.42,1017.75
2017/11/16,1032.5,1129424,1022.52,1035.92,1022.52
2017/11/15,1020.91,847932,1019.21,1024.09,1015.42
2017/11/14,1026,958708,1022.59,1026.81,1014.15
2017/11/13,1025.75,885565,1023.42,1031.58,1022.57
2017/11/10,1028.07,720674,1026.46,1030.76,1025.28
2017/11/9,1031.26,1244701,1033.99,1033.99,1019.6656
2017/11/8,1039.85,1088395,1030.52,1043.522,1028.45
2017/11/7,1033.33,1112123,1027.27,1033.97,1025.13
2017/11/6,1025.9,1124757,1028.99,1034.87,1025
2017/11/3,1032.48,1075134,1022.11,1032.65,1020.31
2017/11/2,1025.58,1048584,1021.76,1028.09,1013.01
2017/11/1,1025.5,1371619,1017.21,1029.67,1016.95
2017/10/31,1016.64,1331265,1015.22,1024,1010.42
2017/10/30,1017.11,2083490,1014,1024.97,1007.5
2017/10/27,1019.27,5165922,1009.19,1048.39,1008.2
2017/10/26,972.56,2027218,980,987.6,972.2
2017/10/25,973.33,1210368,968.37,976.09,960.5201
